Designator,Mid X,Mid Y,Rotation,Layer
C1,42.0,-19.0,90.0,top
D1,8.0,-5.5,180.0,top
D2,20.0,-5.5,180.0,top
D3,32.0,-5.5,180.0,top
D4,44.0,-5.5,180.0,top
D5,56.0,-5.5,180.0,top
D6,68.0,-5.5,180.0,top
D7,80.0,-5.5,180.0,top
D8,92.0,-5.5,180.0,top
J1,7.985,-2.4,270.0,top
J2,50.0,-27.0,0.0,top
J3,19.985,-2.4,270.0,top
J4,31.985,-2.4,270.0,top
J5,43.985,-2.4,270.0,top
J6,55.985,-2.4,270.0,top
J7,67.985,-2.4,270.0,top
J8,79.985,-2.4,270.0,top
J9,91.985,-2.4,270.0,top
Q1,21.415,-7.975,180.0,bottom
Q2,8.84,-7.9275,180.0,bottom
Q3,33.54,-8.22,180.0,bottom
Q4,45.54,-8.22,180.0,bottom
Q5,57.04,-8.22,180.0,bottom
Q6,68.54,-8.22,180.0,bottom
Q7,80.54,-8.22,180.0,bottom
Q8,92.54,-8.22,180.0,bottom
R1,8.0,-8.0,180.0,top
R10,92.0,-8.0,180.0,top
R2,49.0,-19.0,90.0,top
R3,52.0,-19.0,90.0,top
R4,20.0,-8.0,180.0,top
R5,32.0,-8.0,180.0,top
R6,44.0,-8.0,180.0,top
R7,56.0,-8.0,180.0,top
R8,68.0,-8.0,180.0,top
R9,80.0,-8.0,180.0,top
SW1,7.96,-13.5,0.0,top
SW2,19.96,-13.5,0.0,top
SW3,31.96,-13.5,0.0,top
SW4,43.96,-13.5,0.0,top
SW5,55.96,-13.5,0.0,top
SW6,67.96,-13.5,0.0,top
SW7,79.96,-13.5,0.0,top
SW8,91.96,-13.5,0.0,top
U1,45.5375,-20.15,270.0,top
